transcript,domain,target name,E-value
TRINITY_DN163690_c3_g1_i6.p1,Y_Y_Y domain,Y_Y_Y,0.056
TRINITY_DN163690_c3_g1_i6.p1,Tissue factor,Tissue_fac,0.63
TRINITY_DN163690_c3_g1_i6.p1,Tissue factor,Tissue_fac,0.63
TRINITY_DN163635_c0_g1_i2.p1,Spc7 kinetochore protein,Spc7,5.60E-05
TRINITY_DN163635_c0_g1_i2.p1,Spc7 kinetochore protein,Spc7,5.60E-05
TRINITY_DN163635_c0_g1_i2.p1,IncA protein,IncA,0.00055
TRINITY_DN163635_c0_g1_i2.p1,IncA protein,IncA,0.00055
TRINITY_DN163635_c0_g1_i2.p1,Golgin subfamily A member 5,Golgin_A5,0.0067
TRINITY_DN163635_c0_g1_i2.p1,Golgin subfamily A member 5,Golgin_A5,0.0067
TRINITY_DN163635_c0_g1_i2.p1,Bone marrow stromal antigen 2,BST2,0.01
TRINITY_DN163635_c0_g1_i2.p1,Bone marrow stromal antigen 2,BST2,0.01
TRINITY_DN163635_c0_g1_i2.p1,Bone marrow stromal antigen 2,BST2,0.01
TRINITY_DN163635_c0_g1_i2.p1,Reovirus sigma C capsid protein,Reo_sigmaC,0.051
TRINITY_DN163635_c0_g1_i2.p1,Prominin,Prominin,0.052
TRINITY_DN163635_c0_g1_i2.p1,Cobalamin adenosyltransferase,Cob_adeno_trans,0.094
TRINITY_DN163635_c0_g1_i2.p1,SecD export protein N-terminal TM region,SecD-TM1,0.44
TRINITY_DN163635_c0_g1_i2.p1,SecD export protein N-terminal TM region,SecD-TM1,0.44
TRINITY_DN163635_c0_g1_i2.p1,Bacterial protein of unknown function (DUF948),DUF948,0.5
TRINITY_DN163635_c0_g1_i2.p1,Bacterial protein of unknown function (DUF948),DUF948,0.5
TRINITY_DN163635_c0_g1_i2.p1,Protein of unknown function (DUF1664),DUF1664,0.59
TRINITY_DN163635_c0_g1_i2.p1,Protein of unknown function (DUF1664),DUF1664,0.59
TRINITY_DN163635_c0_g1_i2.p1,Vacuolar sorting 38 and autophagy-related subunit 14,Atg14,0.79
TRINITY_DN163635_c0_g1_i2.p1,Vacuolar sorting 38 and autophagy-related subunit 14,Atg14,0.79
TRINITY_DN163635_c0_g1_i2.p1,Sec34-like family,Sec34,1.3
TRINITY_DN163635_c0_g1_i2.p1,Sec34-like family,Sec34,1.3
TRINITY_DN163635_c0_g1_i2.p1,Proteins of 100 residues with WXG,WXG100,4.1
TRINITY_DN163635_c0_g1_i2.p1,Proteins of 100 residues with WXG,WXG100,4.1
TRINITY_DN163635_c0_g1_i2.p1,"COG (conserved oligomeric Golgi) complex component, COG2",COG2,4.2
TRINITY_DN163635_c0_g1_i2.p1,SlyX,SlyX,4.6
TRINITY_DN163635_c0_g1_i2.p1,SlyX,SlyX,4.6
TRINITY_DN163635_c0_g1_i2.p1,Centromere protein H (CENP-H),CENP-H,8.3
TRINITY_DN163635_c0_g1_i2.p1,Centromere protein H (CENP-H),CENP-H,8.3
TRINITY_DN163635_c0_g1_i2.p1,Centromere protein H (CENP-H),CENP-H,8.3
TRINITY_DN163635_c0_g1_i2.p1,TolA binding protein trimerisation,TolA_bind_tri,9.2
TRINITY_DN163635_c0_g1_i2.p1,TolA binding protein trimerisation,TolA_bind_tri,9.2
TRINITY_DN163635_c0_g1_i2.p2,Protein of unknown function (DUF3314),DUF3314,0.097
TRINITY_DN159590_c2_g10_i1.p2,Protein of unknown function (DUF2946),DUF2946,0.018
TRINITY_DN163877_c0_g3_i1.p1,Sporulation protein family 7,Spo7_2_N,0.039
TRINITY_DN163873_c1_g1_i1.p1,Zona pellucida-like domain,Zona_pellucida,2.40E-09
TRINITY_DN163873_c1_g1_i1.p1,EGF-like domain,EGF,0.027
TRINITY_DN163873_c1_g1_i1.p1,EGF-like domain,EGF,0.027
TRINITY_DN163873_c1_g1_i1.p1,EGF-like domain,EGF_2,0.17
TRINITY_DN163873_c1_g1_i1.p1,EGF-like domain,EGF_2,0.17
TRINITY_DN163873_c1_g1_i1.p1,Human growth factor-like EGF,hEGF,6.9
TRINITY_DN163873_c1_g1_i1.p1,Human growth factor-like EGF,hEGF,6.9
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin domain,Cadherin,0
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Cadherin prodomain like,Cadherin_pro,4.20E-11
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Y_Y_Y domain,Y_Y_Y,0.18
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p1,Peptidase propeptide and YPEB domain,PepSY,0.58
TRINITY_DN167701_c0_g2_i1.p4,Malate:quinone oxidoreductase (Mqo),Mqo,0.015
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
TRINITY_DN167704_c1_g1_i2.p1,Putative ephrin-receptor like,Ephrin_rec_like,0.0003
